"","order","family_w_n","family","scientific_name","common_jp_name","coastal_fish","avr_identity","avr_lod","water_area","habitat","depth_s","depth_d","n_reads","freq"
"Taxa0001","Myxiniformes","001_Myxinidae","Myxinidae","Eptatretus atami","クロヌタウナギ","D","100","MODERATE","S","bathydemersal",300,536,"21",1
"Taxa0002","Myxiniformes","001_Myxinidae","Myxinidae","U98.5_Myxine garmani","ホソヌタウナギと近縁な種","D","90","MODERATE","S","bathydemersal",500,800,"51",1
"Taxa0003","Petromyzontiformes","002_Petromyzontidae","Petromyzontidae","Lethenteron spN","カワヤツメと同じ属の種","F","100","MODERATE",NA,NA,NA,NA,"40",2
"Taxa0004","Squaliformes","037_Somniosidae","Somniosidae","Somniosus microcephalus","ニシオンデンザメ","D","100","MODERATE","BS","benthopelagic",0,2200,"202",5
"Taxa0005","Squatiniformes","040_Squatinidae","Squatinidae","Squatina japonica","カスザメ","C","100","HIGH","S","demersal",NA,NA,"97",2
"Taxa0006","Rajiformes","048_Rajidae","Rajidae","Amblyraja georgiana","ミツボシカスベと同じ属の種","D","99.4","LOW","S","bathydemersal",20,350,"165",2
"Taxa0007","Rajiformes","048_Rajidae","Rajidae","Bathyraja kincaidii","チヒロカスベと同じ属の種","D","99.4","LOW",NA,NA,NA,NA,"63",2
"Taxa0008","Rajiformes","048_Rajidae","Rajidae","Bathyraja matsubarai","マツバラエイ","D","98.9","LOW","S","bathydemersal",120,2000,"20",1
"Taxa0009","Rajiformes","048_Rajidae","Rajidae","Rajella bigelowi","フカミガンギエイと同じ属の種","D","100","MODERATE","S","bathydemersal",650,4156,"132",4
"Taxa0010","Rajiformes","048_Rajidae","Rajidae","Rajella fyllae","フカミガンギエイと同じ属の種","D","99.4","LOW","S","bathydemersal",170,2050,"43",1
"Taxa0011","Anguilliformes","074_Anguillidae","Anguillidae","Anguilla japonica","ウナギ","C","99.93","HIGH","FBS","demersal",1,400,"387",9
"Taxa0012","Anguilliformes","074_Anguillidae","Anguillidae","Anguilla marmorata","オオウナギ","C","100","LOW","FBS","demersal",1,400,"17",1
"Taxa0013","Anguilliformes","079_Muraenidae","Muraenidae","Anarchias sp Ansp","タカマユウツボ属の一種","C","99.84","LOW",NA,NA,NA,NA,"1892",23
"Taxa0014","Anguilliformes","079_Muraenidae","Muraenidae","Echidna xanthospilos","クモウツボと同じ属の種","C","100","LOW","S","demersal",NA,NA,"223",4
"Taxa0015","Anguilliformes","079_Muraenidae","Muraenidae","Enchelycore anatina","コケウツボ属の一種","C","98.8","HIGH","S","demersal",3,60,"75",3
"Taxa0016","Anguilliformes","079_Muraenidae","Muraenidae","Enchelycore pardalis","トラウツボ","C","99.97","HIGH","S","reef-associated",8,60,"18932",153
"Taxa0017","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax chilospilus","ミナミウツボ","C","99.7","HIGH","S","reef-associated",1,45,"83",2
"Taxa0018","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax eurostus","ワカウツボ","C","100","HIGH","S","reef-associated",1,74,"191",2
"Taxa0019","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax isingteena","ニセゴイシウツボ","C","100","HIGH","S","reef-associated",3,30,"43",1
"Taxa0020","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax kidako","ウツボ","C","99.98","HIGH","S","reef-associated",2,350,"217908",408
"Taxa0021","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax leucostigma","ユリウツボ","C","99.4","LOW",NA,NA,NA,NA,"54",1
"Taxa0022","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax meleagris","ハナビラウツボ","C","100","HIGH","FBS","reef-associated",1,51,"41",1
"Taxa0023","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax phasmatodes","シノビウツボ","C","98.8","HIGH","S","demersal",NA,NA,"62",1
"Taxa0024","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax pictus","アセウツボ","C","100","HIGH","BS","reef-associated",5,100,"385",1
"Taxa0025","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax reticularis","アミウツボ","C","100","LOW","S","demersal",NA,56,"440",7
"Taxa0026","Anguilliformes","079_Muraenidae","Muraenidae","Gymnothorax thyrsoideus","サビウツボ","C","100","HIGH","S","reef-associated",0,30,"50",1
"Taxa0027","Anguilliformes","079_Muraenidae","Muraenidae","U98.5_Enchelycore anatina gotu1","コケウツボ属の一種と近縁な種","C","98.13","HIGH","S","demersal",3,60,"487",9
"Taxa0028","Anguilliformes","079_Muraenidae","Muraenidae","U98.5_Gymnothorax kidako gotu1","ウツボと近縁な種","C","98.22","LOW","S","reef-associated",2,350,"957",16
"Taxa0029","Anguilliformes","081_Ophichthidae","Ophichthidae","Brachysomophis crocodilinus","タツウミヘビ","C","99.4","HIGH","S","reef-associated",0,30,"31",2
"Taxa0030","Anguilliformes","081_Ophichthidae","Ophichthidae","Neenchelys sp KAUM I 113282","ムカシウミヘビと同じ属の種","D","100","LOW",NA,NA,NA,NA,"20",1
"Taxa0031","Anguilliformes","081_Ophichthidae","Ophichthidae","Ophichthus erabo","モンガラドオシ","C","99.55","HIGH","S","reef-associated",NA,155,"233",4
"Taxa0032","Anguilliformes","081_Ophichthidae","Ophichthidae","Ophisurus macrorhynchos","ダイナンウミヘビ","C","100","HIGH","S","demersal",NA,NA,"1247",11
"Taxa0033","Anguilliformes","081_Ophichthidae","Ophichthidae","Pisodonophis zophistius","ホタテウミヘビ","C","100","LOW",NA,NA,NA,NA,"210",7
"Taxa0034","Anguilliformes","081_Ophichthidae","Ophichthidae","U98.5_Brachysomophis crocodilinus","タツウミヘビと近縁な種","C","84.9","LOW","S","reef-associated",0,30,"22",1
"Taxa0035","Anguilliformes","081_Ophichthidae","Ophichthidae","U98.5_Echelus myrus","ヒレアナゴと同じ属の種と近縁な種","C","91.3","LOW","BS","demersal",3,550,"50",1
"Taxa0036","Anguilliformes","081_Ophichthidae","Ophichthidae","U98.5_Xyrias revulsus gotu1","ボウウミヘビと近縁な種","D","94.8","LOW","S","demersal",146,209,"205",6
"Taxa0037","Anguilliformes","086_Congridae","Congridae","Ariosoma scheelei","ハナアナゴと同じ属の種","D","99.7","MODERATE","S","reef-associated",9,55,"44",2
"Taxa0038","Anguilliformes","086_Congridae","Congridae","Ariosoma shiroanago","ハナアナゴと同じ属の種","D","100","LOW","S","demersal",NA,NA,"189",4
"Taxa0039","Anguilliformes","086_Congridae","Congridae","Gnathophis bathytopos","ギンアナゴと同じ属の種","C","100","MODERATE","S","bathydemersal",180,370,"22",2
"Taxa0040","Anguilliformes","086_Congridae","Congridae","Gnathophis nystromi","ギンアナゴ","C","99.92","LOW","S","reef-associated",144,577,"339",8
"Taxa0041","Anguilliformes","086_Congridae","Congridae","U98.5_Gnathophis bathytopos gotu1","ギンアナゴと同じ属の種と近縁な種","C","95.2","LOW","S","bathydemersal",180,370,"62",1
"Taxa0042","Anguilliformes","086_Congridae","Congridae","U98.5_Gnathophis bathytopos gotu2","ギンアナゴと同じ属の種と近縁な種","C","97","LOW","S","bathydemersal",180,370,"6",1
"Taxa0043","Anguilliformes","087_Nettastomatidae","Nettastomatidae","Nettastoma solitarium","ニセクズアナゴ","D","100","MODERATE","S","benthopelagic",415,610,"158",1
"Taxa0044","Clupeiformes","095_Engraulidae","Engraulidae","Encrasicholina punctifer","タイワンアイノコイワシ","C","99.96","HIGH","S","reef-associated",5,35,"2914",17
"Taxa0045","Clupeiformes","095_Engraulidae","Engraulidae","Engraulis japonicus","カタクチイワシ","C","99.97","HIGH","S","pelagic-neritic",0,400,"419069",378
"Taxa0046","Clupeiformes","095_Engraulidae","Engraulidae","U98.5_Engraulis japonicus gotu1","カタクチイワシと近縁な種","C","98.2","MODERATE","S","pelagic-neritic",0,400,"134",1
"Taxa0047","Clupeiformes","095_Engraulidae","Engraulidae","U98.5_Engraulis japonicus gotu2","カタクチイワシと近縁な種","C","98.2","MODERATE","S","pelagic-neritic",0,400,"16",1
"Taxa0048","Clupeiformes","095_Engraulidae","Engraulidae","U98.5_Engraulis japonicus gotu3","カタクチイワシと近縁な種","C","98.2","MODERATE","S","pelagic-neritic",0,400,"8",1
"Taxa0049","Clupeiformes","097_Clupeidae","Clupeidae","Etrumeus teres","ウルメイワシ","C","99.98","MODERATE",NA,NA,NA,NA,"65691",226
"Taxa0050","Clupeiformes","097_Clupeidae","Clupeidae","Konosirus punctatus","コノシロ","C","99.97","HIGH","BS","pelagic-neritic",NA,NA,"65346",71
"Taxa0051","Clupeiformes","097_Clupeidae","Clupeidae","Nematalosa nasus","メナガ","C","100","HIGH","FBS","pelagic-neritic",0,30,"115",2
"Taxa0052","Clupeiformes","097_Clupeidae","Clupeidae","Sardinella lemuru","カタボシイワシ","C","99.68","LOW","S","pelagic-neritic",15,100,"9,542",30
"Taxa0053","Clupeiformes","097_Clupeidae","Clupeidae","Sardinops melanostictus","マイワシ","C","99.98","LOW",NA,NA,NA,NA,"178151",253
"Taxa0054","Clupeiformes","097_Clupeidae","Clupeidae","Spratelloides gracilis","キビナゴ","C","100","HIGH","S","pelagic-neritic",NA,40,"186,442",148
"Taxa0055","Clupeiformes","097_Clupeidae","Clupeidae","U98.5_Sardinella lemuru gotu1","カタボシイワシと近縁な種","C","97.1","LOW","S","pelagic-neritic",15,100,"197",2
"Taxa0056","Clupeiformes","097_Clupeidae","Clupeidae","U98.5_Spratelloides gracilis gotu1","キビナゴと近縁な種","C","98.2","HIGH","S","pelagic-neritic",NA,40,"3,553",35
"Taxa0057","Clupeiformes","097_Clupeidae","Clupeidae","U98.5_Spratelloides gracilis gotu2","キビナゴと近縁な種","C","97.6","HIGH","S","pelagic-neritic",NA,40,"34",1
"Taxa0058","Gonorynchiformes","099_Gonorhynchidae","Gonorhynchidae","Gonorynchus abbreviatus","ネズミギス","D","100","HIGH","S","demersal",50,100,"82",1
"Taxa0059","Cypriniformes","102_Cyprinidae","Cyprinidae","Abbottina rivularis","ツチフキ","F","100","HIGH","F","benthopelagic",NA,NA,"15",1
"Taxa0060","Cypriniformes","102_Cyprinidae","Cyprinidae","Acheilognathus cyanostigma","イチモンジタナゴ","F","100","MODERATE","F","benthopelagic",NA,NA,"652",5
"Taxa0061","Cypriniformes","102_Cyprinidae","Cyprinidae","Acheilognathus typus","ゼニタナゴ","F","99.4","HIGH","F","benthopelagic",NA,NA,"20",1
"Taxa0062","Cypriniformes","102_Cyprinidae","Cyprinidae","Barbus barbus","バルブス・カンプタカンタスと同じ属の種","Ex","100","HIGH","F","benthopelagic",10,NA,"15",1
"Taxa0063","Cypriniformes","102_Cyprinidae","Cyprinidae","Carassius auratus subsp","ギンブナと同じ属の種","F","100","LOW","F","benthopelagic",0,20,"77",1
"Taxa0064","Cypriniformes","102_Cyprinidae","Cyprinidae","Carassius auratus subsp KINBUNA","キンブナ","F","99.8","LOW","F","benthopelagic",0,20,"484",6
"Taxa0065","Cypriniformes","102_Cyprinidae","Cyprinidae","Carassius cuvieri","ゲンゴロウブナ","F","100","MODERATE","F","demersal",NA,NA,"252",6
"Taxa0066","Cypriniformes","102_Cyprinidae","Cyprinidae","Carassius gibelio","ギベリオブナ","F","100","LOW","FB","benthopelagic",0,NA,"21",1
"Taxa0067","Cypriniformes","102_Cyprinidae","Cyprinidae","Cyprinus carpio","コイ","F","100","HIGH","FB","benthopelagic",NA,NA,"2974",31
"Taxa0068","Cypriniformes","102_Cyprinidae","Cyprinidae","Cyprinus carpio haematopterus","コイ","F","99.99","LOW","FB","benthopelagic",NA,NA,"8589",52
"Taxa0069","Cypriniformes","102_Cyprinidae","Cyprinidae","Gobio gobio","タイリクスナムグリ","F","100","HIGH","FB","benthopelagic",NA,NA,"53",2
"Taxa0070","Cypriniformes","102_Cyprinidae","Cyprinidae","Hypophthalmichthys molitrix","ハクレン","F","100","HIGH","F","benthopelagic",0,20,"163",1
"Taxa0071","Cypriniformes","102_Cyprinidae","Cyprinidae","Nipponocypris temminckii","カワムツ","F","100","HIGH","F","benthopelagic",NA,NA,"37",2
"Taxa0072","Cypriniformes","102_Cyprinidae","Cyprinidae","Opsariichthys uncirostris","ハス","F","100","LOW","F","benthopelagic",NA,NA,"35",1
"Taxa0073","Cypriniformes","102_Cyprinidae","Cyprinidae","Pseudogobio esocinus","カマツカ","F","100","MODERATE","F","benthopelagic",NA,NA,"18",1
"Taxa0074","Cypriniformes","102_Cyprinidae","Cyprinidae","Pseudogobio esocinus Clade A","カマツカと同じ属の種","F","100","MODERATE","F","benthopelagic",NA,NA,"115",1
"Taxa0075","Cypriniformes","102_Cyprinidae","Cyprinidae","Pseudorasbora parva","モツゴ","F","100","HIGH","F","benthopelagic",NA,NA,"93",2
"Taxa0076","Cypriniformes","102_Cyprinidae","Cyprinidae","Rhodeus atremius atremius","カゼトゲタナゴ","F","100","HIGH","F","benthopelagic",NA,NA,"294",3
"Taxa0077","Cypriniformes","102_Cyprinidae","Cyprinidae","Rhodeus ocellatus","タイリクバラタナゴ","F","100","HIGH","F","benthopelagic",NA,NA,"38",1
"Taxa0078","Cypriniformes","102_Cyprinidae","Cyprinidae","Rhynchocypris lagowskii steindachneri","アブラハヤと同じ属の種","F","100","HIGH","F","benthopelagic",NA,NA,"763",8
"Taxa0079","Cypriniformes","102_Cyprinidae","Cyprinidae","Rhynchocypris oxycephalus jouyi","タカハヤ","F","99.7","MODERATE","F","demersal",NA,NA,"466",2
"Taxa0080","Cypriniformes","102_Cyprinidae","Cyprinidae","Squalidus chankaensis tsuchigae","コウライモロコ","F","100","LOW","F","benthopelagic",NA,10,"323",4
"Taxa0081","Cypriniformes","102_Cyprinidae","Cyprinidae","Squalidus gracilis gracilis","イトモロコ","F","100","HIGH","F","benthopelagic",NA,NA,"58",1
"Taxa0082","Cypriniformes","102_Cyprinidae","Cyprinidae","Tanakia limbata","アブラボテ","F","99.8","LOW","F","benthopelagic",NA,NA,"304",3
"Taxa0083","Cypriniformes","102_Cyprinidae","Cyprinidae","Tribolodon brandtii","マルタ","C","100","LOW","FBS","demersal",NA,NA,"9395",5
"Taxa0084","Cypriniformes","102_Cyprinidae","Cyprinidae","Tribolodon sachalinensis","エゾウグイ","Ex","100","LOW",NA,NA,NA,NA,"13",1
"Taxa0085","Cypriniformes","102_Cyprinidae","Cyprinidae","Tribolodon hakonensis","ウグイ","C","99.74","HIGH","FB","benthopelagic",NA,NA,"1,526",14
"Taxa0086","Cypriniformes","102_Cyprinidae","Cyprinidae","U98.5_Phoxinus phoxinus tumensis gotu1","ノーザンレッドベリーデイスと同じ属の種と近縁な種","Ex","97.1","LOW","FB","demersal",NA,NA,"245",2
"Taxa0087","Cypriniformes","102_Cyprinidae","Cyprinidae","U98.5_Phoxinus sp UAIC 14401 01 gotu1","ノーザンレッドベリーデイスと同じ属の種と近縁な種","Ex","96.97","LOW",NA,NA,NA,NA,"450",9
"Taxa0088","Cypriniformes","102_Cyprinidae","Cyprinidae","Zacco platypus","オイカワ","F","100","HIGH","F","benthopelagic",NA,NA,"943",11
"Taxa0089","Cypriniformes","106_Cobitidae","Cobitidae","Cobitis matsubarai","ヤマトシマドジョウ","F","100","MODERATE","F","demersal",NA,NA,"207",2
"Taxa0090","Cypriniformes","106_Cobitidae","Cobitidae","Cobitis sp BIWAE typeB","ニシシマドジョウ","F","99.7","HIGH",NA,NA,NA,NA,"222",2
"Taxa0091","Cypriniformes","106_Cobitidae","Cobitidae","Cobitis sp BIWAE typeC","ヒガシシマドジョウ","F","100","MODERATE",NA,NA,NA,NA,"82",3
"Taxa0092","Cypriniformes","106_Cobitidae","Cobitidae","Cobitis sp Kumamoto","シマドジョウと同じ属の種","F","99.97","LOW",NA,NA,NA,NA,"2844",23
"Taxa0093","Cypriniformes","106_Cobitidae","Cobitidae","Misgurnus anguillicaudatus","ドジョウ","F","100","HIGH","F","demersal",5,NA,"339",5
"Taxa0094","Cypriniformes","106_Cobitidae","Cobitidae","Misgurnus mizolepis","カラドジョウ","F","100","LOW","F","demersal",NA,NA,"346",9
"Taxa0095","Cypriniformes","106_Cobitidae","Cobitidae","Misgurnus sp CladeA","キタドジョウ","F","100","HIGH",NA,NA,NA,NA,"27",1
"Taxa0096","Cypriniformes","106_Cobitidae","Cobitidae","Niwaella delicata","アジメドジョウ","F","100","HIGH","F","demersal",NA,NA,"60",1
"Taxa0097","Cypriniformes","107_Balitoridae","Balitoridae","Lefua echigonia S Kanto Population","ヒメドジョウと同じ属の種","F","100","HIGH","F","demersal",NA,NA,"168",2
"Taxa0098","Cypriniformes","107_Balitoridae","Balitoridae","U98.5_Barbatula barbatula","フクドジョウ属の一種と同じ属の種と近縁な種","F","98.2","LOW","F","demersal",NA,NA,"14",1
"Taxa0099","Siluriformes","147_Siluridae","Siluridae","Silurus asotus","ナマズ","F","100","MODERATE","F","demersal",NA,NA,"11",1
"Taxa0100","Siluriformes","151_Plotosidae","Plotosidae","Plotosus japonicus","ゴンズイ","C","99.95","HIGH","S","benthopelagic",NA,NA,"15584",147
"Taxa0101","Siluriformes","159_Bagridae","Bagridae","Mystus mysticetus","ストライプ・ミスタスと同じ属の種","Ex","100","LOW","F","demersal",NA,NA,"66",1
"Taxa0102","Argentiniformes","168_Microstomatidae","Microstomatidae","Lipolagus ochotensis","ソコイワシ","D","99.79","HIGH","S","bathypelagic",930,6100,"1,160",14
"Taxa0103","Argentiniformes","171_Alepocephalidae","Alepocephalidae","Alepocephalus bairdii","オオメハゲイワシ","D","100","HIGH","S","bathydemersal",365,1700,"184",1
"Taxa0104","Osmeriformes","172_Osmeridae","Osmeridae","Neosalanx anderssoni","アリアケヒメシラウオと同じ属の種","Ex","100","HIGH","FBS","demersal",NA,NA,"21",1
"Taxa0105","Osmeriformes","172_Osmeridae","Osmeridae","Plecoglossus altivelis","アユ","C","99.85-100","LOW-MODERATE","FBS","demersal",10,NA,"791",13
"Taxa0106","Osmeriformes","172_Osmeridae","Osmeridae","Protosalanx chinensis","該当属名・和名なし","Ex","100","MODERATE","F","demersal",NA,NA,"869",7
"Taxa0107","Osmeriformes","172_Osmeridae","Osmeridae","Salangichthys ishikawae","イシカワシラウオ","C","99.98","HIGH",NA,NA,NA,NA,"9065",33
"Taxa0108","Osmeriformes","172_Osmeridae","Osmeridae","Salangichthys microdon","シラウオ","C","100","HIGH","FBS","demersal",NA,NA,"39",1
"Taxa0109","Salmonidae","175_Salmonidae","Salmonidae","Oncorhynchus keta","サケ","C","100","MODERATE","FBS","benthopelagic",0,250,"428",5
"Taxa0110","Salmonidae","175_Salmonidae","Salmonidae","Oncorhynchus kisutch","ギンザケ","Ex","100","MODERATE","FBS","demersal",0,250,"10,204",26
"Taxa0111","Salmonidae","175_Salmonidae","Salmonidae","Oncorhynchus mykiss","ニジマス","F","99.7","MODERATE","FBS","benthopelagic",0,200,"251",2
"Taxa0112","Salmonidae","175_Salmonidae","Salmonidae","Oncorhynchus nerka","ベニザケ","Ex","99.8","MODERATE","FBS","pelagic-oceanic",0,250,"508",3
"Taxa0113","Salmonidae","175_Salmonidae","Salmonidae","Salvelinus fontinalis","カワマス","F","100","LOW","FBS","benthopelagic",15,27,"16",1
"Taxa0114","Salmonidae","175_Salmonidae","Salmonidae","Salvelinus leucomaenis imbrius","ゴギ","F","99.93","LOW","FBS","benthopelagic",0,50,"1174",9
"Taxa0115","Salmonidae","175_Salmonidae","Salmonidae","Salvelinus leucomaenis pluvius","ニッコウイワナ","F","100","LOW","FBS","benthopelagic",0,50,"38",1
"Taxa0116","Stomiiformes","179_Gonostomatidae","Gonostomatidae","Cyclothone alba","ユキオニハダカ","D","99.4","LOW","S","bathypelagic",25,4938,"350",4
"Taxa0117","Stomiiformes","179_Gonostomatidae","Gonostomatidae","Cyclothone atraria","オニハダカ","D","100","MODERATE","S","bathypelagic",298,4938,"17",1
"Taxa0118","Stomiiformes","180_Sternoptychidae","Sternoptychidae","Maurolicus japonicus","キュウリエソ","D","99.85","MODERATE","S","bathypelagic",50,400,"104",4
"Taxa0119","Stomiiformes","180_Sternoptychidae","Sternoptychidae","Maurolicus muelleri","キュウリエソ属の一種","D","100","MODERATE","S","bathypelagic",271,1524,"432",12
"Taxa0120","Stomiiformes","180_Sternoptychidae","Sternoptychidae","Polyipnus spinifer","ノコバホウネンエソ","D","99.4","LOW","S","benthopelagic",154,380,"132",1
"Taxa0121","Stomiiformes","180_Sternoptychidae","Sternoptychidae","U98.5_Polyipnus spinifer","ノコバホウネンエソと近縁な種","D","98.2","LOW","S","benthopelagic",154,380,"23",1
"Taxa0122","Stomiiformes","181_Phosichthyidae","Phosichthyidae","U98.5_Vinciguerria nimbaria gotu1","ヤベウキエソと近縁な種","D","97.52","LOW","S","bathypelagic",20,5000,"903",16
"Taxa0123","Stomiiformes","181_Phosichthyidae","Phosichthyidae","Vinciguerria nimbaria","ヤベウキエソ","D","100","LOW","S","bathypelagic",20,5000,"2169",23
"Taxa0124","Stomiiformes","182_Stomiidae","Stomiidae","Stomias affinis","ワニトカゲギス","D","99.7","MODERATE","S","bathypelagic",0,3182,"134",2
"Taxa0125","Stomiiformes","182_Stomiidae","Stomiidae","Stomias nebulosus","ヨロイホシエソ","D","100","HIGH","S","bathypelagic",640,730,"17",1
"Taxa0126","Stomiiformes","182_Stomiidae","Stomiidae","U98.5_Stomias affinis","ワニトカゲギスと近縁な種","D","96.4","LOW","S","bathypelagic",0,3182,"52",1
"Taxa0127","Ateleopodiformes","183_Ateleopodidae","Ateleopodidae","Ateleopus japonicus","シャチフリ","D","100","HIGH","S","bathydemersal",140,600,"245",3
"Taxa0128","Aulopiformes","185_Aulopidae","Aulopidae","Hime japonica","ヒメ","D","100","HIGH","S","demersal",85,510,"52",1
"Taxa0129","Aulopiformes","187_Synodontidae","Synodontidae","Saurida elongata","トカゲエソ","C","100","LOW","S","demersal",20,100,"326",8
"Taxa0130","Aulopiformes","187_Synodontidae","Synodontidae","Saurida spp.","マエソ属複合種群","C","100","LOW","S","reef-associated",1,350,"88",4
"Taxa0131","Aulopiformes","187_Synodontidae","Synodontidae","Saurida wanieso","ワニエソ","C","100","LOW","S","demersal",NA,NA,"78",2
"Taxa0132","Aulopiformes","187_Synodontidae","Synodontidae","Synodus hoshinonis","ホシノエソ","C","100","HIGH","BS","demersal",60,96,"17",1
"Taxa0133","Aulopiformes","191_Notosudidae","Notosudidae","U98.5_Scopelosaurus harryi","ハリーフデエソと近縁な種","D","93.6","LOW","S","bathypelagic",0,1500,"35",1
"Taxa0134","Myctophiformes","200_Myctophidae","Myctophidae","Benthosema pterotum","イワハダカ","D","99.89","HIGH","S","benthopelagic",10,300,"423",10
"Taxa0135","Myctophiformes","200_Myctophidae","Myctophidae","Bolinichthys indicus","ミカヅキハダカ属の一種","D","99.6","HIGH","S","bathypelagic",25,900,"129",3
"Taxa0136","Myctophiformes","200_Myctophidae","Myctophidae","Diaphus chrysorhynchus","サガミハダカ","D","100","HIGH","S","bathypelagic",213,587,"34",1
"Taxa0137","Myctophiformes","200_Myctophidae","Myctophidae","Diaphus garmani","ヒロハダカ","D","99.9","HIGH","S","bathypelagic",0,2091,"425",6
"Taxa0138","Myctophiformes","200_Myctophidae","Myctophidae","Diaphus sp NMMBP1206","メハダカと同じ属の種","D","98.8","LOW",NA,NA,NA,NA,"95",1
"Taxa0139","Myctophiformes","200_Myctophidae","Myctophidae","Diaphus suborbitalis","センハダカ","D","99.76","HIGH","S","pelagic-oceanic",387,1537,"249",5
"Taxa0140","Myctophiformes","200_Myctophidae","Myctophidae","Diaphus watasei","ハダカイワシ","D","100","HIGH","S","benthopelagic",100,2005,"290",5
"Taxa0141","Myctophiformes","200_Myctophidae","Myctophidae","Hygophum hygomii","ススキハダカと同じ属の種","D","98.8","HIGH","S","bathypelagic",0,1485,"139",3
"Taxa0142","Myctophiformes","200_Myctophidae","Myctophidae","Hygophum reinhardtii","ドングリハダカ","D","100","HIGH","S","bathypelagic",0,1050,"217",5
"Taxa0143","Myctophiformes","200_Myctophidae","Myctophidae","Hygophum sp CBM ZF 14740","ススキハダカと同じ属の種","D","100","HIGH",NA,NA,NA,NA,"16",1
"Taxa0144","Myctophiformes","200_Myctophidae","Myctophidae","Lampanyctus alatus","トミハダカ","D","100","HIGH","S","bathypelagic",40,1500,"20",1
"Taxa0145","Myctophiformes","200_Myctophidae","Myctophidae","Lampanyctus jordani","マメハダカ","D","100","HIGH","S","bathypelagic",588,3400,"166",2
"Taxa0146","Myctophiformes","200_Myctophidae","Myctophidae","Lampanyctus tenuiformes Russia","オオメニジハダカと同じ属の種","D","98.8","MODERATE",NA,NA,NA,NA,"21",1
"Taxa0147","Myctophiformes","200_Myctophidae","Myctophidae","Myctophum asperum","アラハダカ","D","100","LOW","S","bathypelagic",244,1948,"676",12
"Taxa0148","Myctophiformes","200_Myctophidae","Myctophidae","Myctophum brachygnathum","アラハダカと同じ属の種","D","98.8","LOW","S","bathypelagic",NA,NA,"21",1
"Taxa0149","Myctophiformes","200_Myctophidae","Myctophidae","Nannobrachium fernae","トンガリハダカと同じ属の種","D","99.49","LOW","S","bathypelagic",0,750,"1325",13
"Taxa0150","Myctophiformes","200_Myctophidae","Myctophidae","Notoscopelus japonicus","オオクチイワシ","D","99.95","HIGH","S","bathypelagic",391,794,"5963",13
"Taxa0151","Myctophiformes","200_Myctophidae","Myctophidae","Notoscopelus sp HUMZ 222547","オオセビレハダカと同じ属の種","D","100","MODERATE",NA,NA,NA,NA,"220",1
"Taxa0152","Myctophiformes","200_Myctophidae","Myctophidae","Symbolophorus californiensis","ナガハダカ","D","100","LOW","S","pelagic-oceanic",557,1497,"231",2
"Taxa0153","Myctophiformes","200_Myctophidae","Myctophidae","Symbolophorus cf californiensis","ナガハダカと同じ属の種","D","99.52","LOW",NA,NA,NA,NA,"495",5
"Taxa0154","Myctophiformes","200_Myctophidae","Myctophidae","Symbolophorus cf evermanni","ナガハダカと同じ属の種","D","100","HIGH",NA,NA,NA,NA,"10",1
"Taxa0155","Myctophiformes","200_Myctophidae","Myctophidae","Symbolophorus cf rufinus","ナガハダカと同じ属の種","D","99.4","LOW",NA,NA,NA,NA,"33",2
"Taxa0156","Myctophiformes","200_Myctophidae","Myctophidae","U98.5_Benthosema suborbitale gotu1","ソコハダカと近縁な種","D","98.3","HIGH","S","bathypelagic",50,2500,"190",1
"Taxa0157","Myctophiformes","200_Myctophidae","Myctophidae","U98.5_Benthosema suborbitale gotu2","ソコハダカと近縁な種","D","98.2","HIGH","S","bathypelagic",50,2500,"30",1
"Taxa0158","Myctophiformes","200_Myctophidae","Myctophidae","U98.5_Diaphus garmani","ヒロハダカと近縁な種","D","95.9","LOW","S","bathypelagic",0,2091,"14",1
"Taxa0159","Myctophiformes","200_Myctophidae","Myctophidae","U98.5_Diogenichthys atlanticus gotu1","イタハダカと近縁な種","D","95.22","LOW","S","bathypelagic",0,1050,"588",8
"Taxa0160","Myctophiformes","200_Myctophidae","Myctophidae","U98.5_Lampadena luminosa gotu1","カガミイワシと近縁な種","D","97.6","LOW","S","bathypelagic",50,1021,"110",2
"Taxa0161","Myctophiformes","200_Myctophidae","Myctophidae","U98.5_Myctophum cf orientale","アラハダカと同じ属の種と近縁な種","D","98.3","MODERATE",NA,NA,NA,NA,"12",1
"Taxa0162","Myctophiformes","200_Myctophidae","Myctophidae","U98.5_Myctophum orientale gotu1","ウスハダカと近縁な種","D","98.3","LOW","S","bathypelagic",NA,NA,"125",2
"Taxa0163","Myctophiformes","200_Myctophidae","Myctophidae","U98.5_Nannobrachium fernae","トンガリハダカと同じ属の種と近縁な種","D","98.2","LOW","S","bathypelagic",0,750,"45",1
